insider,len,mo2_sum,mo2_per_trade,mo2_ratio,mo6_sum,mo6_per_trade,mo6_ratio,year1_sum,year1_per_trade,year1_ratio
kuta michael,1,0.04201680806959162,0.04201680806959162,100,0.4575630142328283,0.4575630142328283,100,1.8378152554877547,1.8378152554877547,100
aldous david c,1,0.22865853303958097,0.22865853303958097,100,0.5243902202638732,0.5243902202638732,100,0.3414633744485844,0.3414633744485844,100
starrett peter m,1,-0.22583801770142783,-0.22583801770142783,0,0.0,0.0,0,0.0,0.0,0
watkins james m,2,0.1272196415613627,0.06360982078068135,50,0.0,0.0,50,0.0,0.0,50
starrett peter,1,-0.22583801770142783,-0.22583801770142783,0,0.0,0.0,0,0.0,0.0,0
goldberg mark alan,4,0.7337931844405803,0.18344829611014507,75,1.9011454373356276,0.4752863593339069,75,2.5845690772731107,0.6461422693182777,75
demetri george d,1,0.2038470569514986,0.2038470569514986,100,-0.08190181433011777,-0.08190181433011777,100,-0.368255517696761,-0.368255517696761,100
carrady robert,1,-0.24906992944415968,-0.24906992944415968,0,-0.2559232381618522,-0.2559232381618522,0,0.32289011087346337,0.32289011087346337,0
gillespie richard j,5,-0.6530073623716991,-0.1306014724743398,40,-0.586519833826636,-0.1173039667653272,40,-0.16895658300099414,-0.03379131660019883,40
tuchman martin,11,-0.26699149671617445,-0.02427195424692495,36,-0.1956796680660196,-0.01778906073327451,36,-0.7491374601430725,-0.06810340546755204,36
rapp george stephen,1,-0.0348767259756926,-0.0348767259756926,0,-0.02254961027807493,-0.02254961027807493,0,0.022248999272730108,0.022248999272730108,0
dietzler edward j,1,-0.0348767259756926,-0.0348767259756926,0,-0.02254961027807493,-0.02254961027807493,0,0.022248999272730108,0.022248999272730108,0
o donnell daniel,1,-0.0348767259756926,-0.0348767259756926,0,-0.02254961027807493,-0.02254961027807493,0,0.022248999272730108,0.022248999272730108,0
coles carol r,1,-0.0348767259756926,-0.0348767259756926,0,-0.02254961027807493,-0.02254961027807493,0,0.022248999272730108,0.022248999272730108,0
stein elliot h jr,2,0.07990918843609637,0.03995459421804819,50,-0.035238084338960196,-0.017619042169480098,50,0.08476193745930989,0.042380968729654946,50
vitale robert v,8,0.10646780138157338,0.013308475172696673,50,0.783057727790842,0.09788221597385525,50,0.4211660068008021,0.05264575085010026,50
rosenthal craig l,1,-0.017743080006573517,-0.017743080006573517,0,-0.0848119007723882,-0.0848119007723882,0,-0.11710436865407248,-0.11710436865407248,0
rode paul a,1,0.22443891128345636,0.22443891128345636,100,0.3541147457175979,0.3541147457175979,100,0.35162101808851504,0.35162101808851504,100
stein elliot jr,1,-0.008186067824366795,-0.008186067824366795,0,0.0,0.0,0,0.0,0.0,0
shaller russell r,1,0.019230772589723548,0.019230772589723548,100,0.0,0.0,100,0.0,0.0,100
shaller russell,1,0.019230772589723548,0.019230772589723548,100,0.0,0.0,100,0.0,0.0,100
tio romano,5,0.3964952474566636,0.07929904949133272,80,1.237974615186863,0.24759492303737257,80,2.966885504168003,0.5933771008336006,80
difranco michael,5,-0.45596752700112253,-0.0911935054002245,0,0.03884070208966531,0.007768140417933061,0,1.7927774588038712,0.3585554917607742,0
kamfar r ramin,1,-0.07150151297167548,-0.07150151297167548,0,0.08886617864648189,0.08886617864648189,0,0.24004089791895405,0.24004089791895405,0
vohs christopher j,1,-0.01351346513704558,-0.01351346513704558,0,-0.09909907845847278,-0.09909907845847278,0,-0.22672669469075463,-0.22672669469075463,0
babb james g iii,2,-0.06855241711087012,-0.03427620855543506,50,0.2790942447758845,0.13954712238794226,50,0.4252830446842963,0.21264152234214814,50
kachadurian gary t,1,0.036541875013759,0.036541875013759,100,-0.07754009490674178,-0.07754009490674178,100,0.20320852751414087,0.20320852751414087,100
silva juan luis,1,0.131289311417918,0.131289311417918,100,0.0,0.0,100,0.0,0.0,100
